ERS12091931	Cheracebus_lugens
ERS12091914	Callibella_humilis
ERS12091910	Cacajao_hosomi
ERS12091872	Ateles_belzebuth
ERS12091841	Alouatta_macconnelli
ERS12091946	Chiropotes_israelita
ERS12091921	Cebus_olivaceus
ERS12091870	Aotus_trivirgatus
ERS12091995	Saguinus_inustus
ERS12091915	Cebuella_niveiventris
ERS12092030	Sapajus_macrocephalus
ERS12092017	Saimiri_ustus
ERS12091923	Cebus_unicolor
ERS12091970	Pithecia_vanzolinii
ERS12091954	Lagothrix_lagothricha
ERS12091957	Leontocebus_nigricollis
ERS12091912	Cacajao_melanocephalus
ERS12091888	Cacajao_ayresi
ERS12091891	Cacajao_calvus
ERS12091892	Cacajao_calvus
ERS12091889	Cacajao_ayresi
ERS12091893	Cacajao_calvus
ERS12091894	Cacajao_calvus
ERS12091855	Alouatta_seniculus
ERS12091849	Alouatta_puruensis
ERS12091837	Alouatta_discolor
ERS14600172	Allenopithecus_nigroviridis
ERS14600176	Cercopithecus_ascanius
ERS14600177	Cercopithecus_nictitans
ERS14600178	Erythrocebus_patas
ERS14600179	Hylobates_klossii
ERS14600180	Hylobates_abbotti
ERS14600181	Nomascus_concolor
ERS14600182	Presbytis_mitrata
ERS14600183	Piliocolobus_badius
ERS14600184	Lophocebus_aterrimus
ERS14600185	Cercopithecus_cephus
ERS14600186	Cercopithecus_mona
ERS14600187	Cercopithecus_lowei
ERS14600188	Macaca_siberu
ERS14600189	Piliocolobus_gordonorum
ERS14600190	Piliocolobus_kirkii
ERS14600191	Piliocolobus_tephrosceles
ERS14600192	Trachypithecus_crepusculus
ERS14600193	Hylobates_muelleri
ERS14600194	Hylobates_agilis
ERS14600195	Nomascus_gabriellae
ERS14600196	Presbytis_comata
ERS14600197	Trachypithecus_auratus
ERS14600198	Trachypithecus_francoisi
ERS14600199	Colobus_polykomos
ERS14600200	Colobus_guereza
ERS14600202	Cercopithecus_neglectus
ERS14600203	Cercopithecus_diana
ERS14600204	Cercopithecus_hamlyni
ERS14600205	Cercopithecus_mitis
ERS14600206	Erythrocebus_patas
ERS14600207	Semnopithecus_vetulus
ERS14600208	Trachypithecus_obscurus
ERS14600209	Semnopithecus_johnii
ERS14600210	Cercopithecus_ascanius
ERS14600211	Theropithecus_gelada
ERS14600212	Cercocebus_chrysogaster
ERS14600213	Nasalis_larvatus
ERS14600214	Macaca_maura
ERS14600215	Macaca_arctoides
ERS12091856	Alouatta_seniculus
ERS12091835	Alouatta_caraya
ERS12091874	Ateles_chamek
ERS12091886	Ateles_paniscus
ERS12091885	Ateles_marginatus
ERS12091924	Cebus_unicolor
ERS12091918	Cebus_albifrons
ERS12091922	Cebus_olivaceus
ERS12092000	Chiropotes_albinasus
ERS12091950	Chiropotes_sagulatus
ERS12091951	Chiropotes_sagulatus
ERS12091963	Pithecia_hirsuta
ERS12091965	Pithecia_mittermeieri
ERS12091961	Pithecia_albicans
ERS12091895	Cacajao_calvus
ERS12091842	Alouatta_macconnelli
ERS14600216	Cercopithecus_nictitans
ERS14600217	Cercopithecus_petaurista
ERS14600218	Cercopithecus_pogonias
ERS14600219	Cercopithecus_roloway
ERS14600220	Cercopithecus_cephus
ERS14600221	Cercopithecus_cephus
ERS14600222	Cercopithecus_mitis
ERS14600223	Macaca_leonina
ERS14600224	Hylobates_lar_entelloides
ERS14600225	Nomascus_siki
ERS14600226	Semnopithecus_priam_thersites
ERS14600227	Trachypithecus_cristatus
ERS14600228	Semnopithecus_entellus
ERS14600229	Pygathrix_nemaeus
ERS14600230	Pygathrix_nemaeus
ERS14600231	Pygathrix_nemaeus
ERS14600232	Pygathrix_cinerea
ERS14600233	Pygathrix_cinerea
ERS14600234	Pygathrix_cinerea
ERS14600235	Pygathrix_cinerea
ERS14600238	Pygathrix_nigripes
ERS14600239	Pygathrix_nigripes
ERS14600240	Pygathrix_nigripes
ERS14600241	Pygathrix_nigripes
ERS14600242	Callimico_goeldii
ERS14600243	Mico_argentatus
ERS14600244	Leontocebus_illigeri
ERS14600245	Saguinus_imperator
ERS14600246	Saguinus_labiatus
ERS14600247	Saguinus_midas
ERS14600248	Saguinus_oedipus
ERS14600249	Leontocebus_fuscicollis
ERS14600250	Miopithecus_ogouensis
ERS14600251	Cercocebus_lunulatus
ERS14600252	Allenopithecus_nigroviridis
ERS12091913	Cacajao_melanocephalus
ERS12091911	Cacajao_hosomi
ERS12091896	Cacajao_calvus
ERS12091890	Cacajao_ayresi
ERS12091897	Cacajao_calvus
ERS12091898	Cacajao_calvus
ERS12091857	Alouatta_seniculus
ERS12091843	Alouatta_macconnelli
ERS12091858	Alouatta_seniculus
ERS12091850	Alouatta_puruensis
ERS12091873	Ateles_belzebuth
ERS12091875	Ateles_chamek
ERS12091876	Ateles_chamek
ERS12091919	Cebus_albifrons
ERS12091942	Chiropotes_albinasus
ERS12091964	Pithecia_hirsuta
ERS14600255	Avahi_laniger
ERS14600256	Avahi_peyrierasi
ERS14600258	Eulemur_albifrons
ERS14600259	Eulemur_collaris
ERS14600260	Eulemur_coronatus
ERS14600261	Eulemur_flavifrons
ERS14600262	Eulemur_macaco
ERS14600263	Eulemur_sanfordi
ERS14600264	Galago_moholi
ERS14600265	Galago_senegalensis
ERS14600266	Hapalemur_gilberti
ERS14600267	Hapalemur_griseus
ERS14600268	Hapalemur_meridionalis
ERS14600269	Hapalemur_occidentalis
ERS14600270	Lepilemur_septentrionalis
ERS14600271	Mico_argentatus
ERS14600272	Mirza_zaza
ERS14600273	Nomascus_annamensis
ERS14600275	Prolemur_simus
ERS14600276	Propithecus_coronatus
ERS14600277	Propithecus_diadema
ERS14600278	Propithecus_edwardsi
ERS14600279	Propithecus_perrieri
ERS14600280	Propithecus_tattersalli
ERS14600281	Propithecus_verreauxi
ERS14600282	Chlorocebus_pygerythrus
ERS12091994	Saguinus_geoffroyi
ERS12091848	Alouatta_palliata
ERS12092014	Saimiri_oerstedii_citrinellus
ERS12091884	Ateles_geoffroyi
ERS14600283	Gorilla_beringei_graueri
ERS14600284	Gorilla_gorilla
ERS14600285	Gorilla_gorilla
ERS14600286	Gorilla_gorilla
ERS14600287	Gorilla_gorilla
ERS14600288	Gorilla_gorilla
ERS14600289	Gorilla_gorilla
ERS14600290	Gorilla_gorilla
ERS14600291	Gorilla_gorilla
ERS14600292	Gorilla_gorilla
ERS14600293	Gorilla_gorilla
ERS14600294	Gorilla_gorilla
ERS14600295	Gorilla_gorilla
ERS14600296	Gorilla_gorilla
ERS14600297	Gorilla_gorilla
ERS14600298	Gorilla_gorilla
ERS14600299	Gorilla_gorilla
ERS14600300	Gorilla_gorilla
ERS14600301	Gorilla_gorilla
ERS14600302	Gorilla_gorilla
ERS14600303	Papio_anubis
ERS14600304	Papio_anubis
ERS14600305	Papio_anubis
ERS14600306	Papio_anubis
ERS14600307	Papio_anubis
ERS14600308	Papio_anubis
ERS14600309	Papio_anubis
ERS14600310	Papio_anubis
ERS14600311	Papio_anubis
ERS14600312	Papio_anubis
ERS14600313	Papio_anubis
ERS14600314	Papio_anubis
ERS14600315	Papio_anubis
ERS14600316	Papio_anubis
ERS14600317	Papio_cynocephalus
ERS14600318	Papio_cynocephalus
ERS14600319	Papio_cynocephalus
ERS14600320	Papio_cynocephalus
ERS14600321	Papio_cynocephalus
ERS14600322	Papio_anubis
ERS14600323	Papio_anubis
ERS14600324	Papio_anubis
ERS14600325	Papio_anubis
ERS14600326	Papio_anubis
ERS14600327	Papio_cynocephalus
ERS14600328	Papio_cynocephalus
ERS14600329	Papio_cynocephalus
ERS14600330	Papio_cynocephalus
ERS14600331	Papio_cynocephalus
ERS14600332	Papio_cynocephalus
ERS14600333	Papio_cynocephalus
ERS14600334	Papio_cynocephalus
ERS14600335	Papio_cynocephalus
ERS14600336	Papio_cynocephalus
ERS14600337	Papio_cynocephalus
ERS14600338	Papio_cynocephalus
ERS14600339	Papio_cynocephalus
ERS14600340	Papio_cynocephalus
ERS14600341	Papio_cynocephalus
ERS14600342	Papio_anubis
ERS14600343	Papio_anubis
ERS14600344	Papio_anubis
ERS14600345	Papio_anubis
ERS14600346	Papio_anubis
ERS14600347	Papio_anubis
ERS14600348	Papio_anubis
ERS14600349	Lepilemur_ankaranensis
ERS14600350	Lepilemur_dorsalis
ERS14600351	Eulemur_collaris
ERS14600352	Lepilemur_ankaranensis
ERS14600353	Lepilemur_ruficaudatus
ERS14600354	Lepilemur_septentrionalis
ERS14600355	Propithecus_diadema
ERS14600356	Propithecus_perrieri
ERS14600357	Pygathrix_cinerea
ERS14600358	Pygathrix_nemaeus
ERS14600359	Pygathrix_nemaeus
ERS14600360	Cercocebus_torquatus
ERS14600361	Pan_troglodytes
ERS14600362	Pan_troglodytes
ERS14600363	Pan_troglodytes
ERS14600364	Gorilla_gorilla
ERS14600365	Macaca_mulatta
ERS14600366	Pongo_pygmaeus
ERS14600367	Pongo_abelii
ERS14600368	Gorilla_gorilla
ERS14600369	Papio_anubis
ERS14600370	Papio_anubis
ERS14600371	Papio_anubis
ERS14600372	Papio_cynocephalus
ERS14600373	Papio_cynocephalus
ERS14600374	Papio_cynocephalus
ERS14600375	Papio_cynocephalus
ERS14600376	Papio_cynocephalus
ERS12091971	Plecturocebus_bernhardi
ERS12091974	Plecturocebus_brunneus
ERS12091976	Plecturocebus_caligatus
ERS12091979	Plecturocebus_cinerascens
ERS12091986	Plecturocebus_dubius
ERS12091989	Plecturocebus_grovesi
ERS12091990	Plecturocebus_hoffmannsi
ERS12091991	Plecturocebus_miltoni
ERS12091958	Mico_argentatus
ERS12091959	Mico_humeralifer
ERS12091960	Mico_schneideri
ERS12091939	Cheracebus_regulus
ERS12091941	Cheracebus_torquatus
