GENUS_SPECIES	REFERENCE_SPECIES		
Allenopithecus_nigroviridis	Chlorocebus_aethiops		
Allochrocebus_lhoesti	Chlorocebus_aethiops		
Allochrocebus_preussi	Chlorocebus_aethiops		
Allochrocebus_solatus	Chlorocebus_aethiops		
Alouatta_belzebul	Ateles_geoffroyi		
Alouatta_caraya	Ateles_geoffroyi		
Alouatta_discolor	Ateles_geoffroyi		
Alouatta_juara	Ateles_geoffroyi		
Alouatta_macconnelli	Ateles_geoffroyi		
Alouatta_nigerrima	Ateles_geoffroyi		
Alouatta_palliata	Ateles_geoffroyi		
Alouatta_puruensis	Ateles_geoffroyi		
Alouatta_seniculus	Ateles_geoffroyi		
Aotus_azarae	Aotus_nancymaae		
Aotus_griseimembra	Aotus_nancymaae		
Aotus_nancymaae	Aotus_nancymaae		
Aotus_trivirgatus	Aotus_nancymaae		
Aotus_vociferans	Aotus_nancymaae		
Arctocebus_calabarensis	Nycticebus_coucang		
Arctocebus_calabarensis	Nycticebus_pygmaeus		
Ateles_belzebuth	Ateles_geoffroyi		
Ateles_chamek	Ateles_geoffroyi		
Ateles_geoffroyi	Ateles_geoffroyi		
Ateles_marginatus	Ateles_geoffroyi		
Ateles_paniscus	Ateles_geoffroyi		
Avahi_laniger	Propithecus_coquereli		
Avahi_occidentalis	Propithecus_coquereli		
Avahi_peyrierasi	Propithecus_coquereli		
Brachyteles_hypoxanthus	Ateles_hybridus		
Cacajao_ayresi	Pithecia_pithecia		
Cacajao_calvus	Pithecia_pithecia		
Cacajao_hosomi	Pithecia_pithecia		
Cacajao_melanocephalus	Pithecia_pithecia		
Callibella_humilis	Callithrix_jacchus		
Callimico_goeldii	Callithrix_jacchus		
Callithrix_geoffroyi	Callithrix_jacchus		
Callithrix_jacchus	Callithrix_jacchus		
Callithrix_kuhlii	Callithrix_jacchus		
Carlito_syrichta	Carlito_syrichta		
Cebuella_niveiventris	Callithrix_jacchus		
Cebuella_pygmaea	Callithrix_jacchus		
Cebus_albifrons	Cebus_albifrons		
Cebus_imitator	Sapajus_apella		
Cebus_olivaceus	Cebus_albifrons		
Cebus_unicolor	Cebus_albifrons		
